TimeStamp, Open, Close, High, Low, Volume, BaseVolume
5/16/2017 2:26:00 AM,0.0019,0.0019,0.0019,0.0019,16803.46401077,31.92658158
5/16/2017 2:27:00 AM,0.0019,0.0019,0.0019,0.0019,1349.86793167,2.56474907
5/16/2017 8:56:00 AM,0.0018,0.0018,0.0018,0.0018,65.50004504,0.11790008
5/16/2017 4:18:00 PM,0.0017,0.0017,0.0017,0.0017,105.01365824,0.17852321
5/16/2017 4:19:00 PM,0.0017,0.0017,0.0017,0.0017,774.98634176,1.31747678
5/17/2017 2:38:00 PM,0.00184,0.00184,0.00184,0.00184,34.12386783,0.06278791
5/17/2017 4:39:00 PM,0.00184,0.00184,0.00184,0.00184,265.87613217,0.48921208
5/17/2017 5:02:00 PM,0.00185,0.00185,0.00185,0.00185,70,0.12949999
5/17/2017 7:53:00 PM,0.001851,0.001851,0.001851,0.001851,120.99942977,0.22396994
5/17/2017 9:38:00 PM,0.0019,0.0019,0.0019,0.0019,65.50004504,0.12445008
5/17/2017 9:58:00 PM,0.00191999,0.00191999,0.00191999,0.00191999,17.70735775,0.03399794
5/17/2017 10:04:00 PM,0.0019,0.0019,0.0019,0.0019,118.24995496,0.22467491
5/17/2017 10:18:00 PM,0.00191999,0.00191999,0.00191999,0.00191999,2.23818185,0.00429728
5/17/2017 10:32:00 PM,0.00191999,0.00192,0.00192,0.00191999,104.5192374,0.2006762
5/17/2017 10:34:00 PM,0.00192,0.001921,0.001921,0.00192,293.53211551,0.56382166
5/17/2017 10:46:00 PM,0.001921,0.001921,0.001921,0.001921,831.25,1.59683124
5/18/2017 12:47:00 AM,0.001921,0.001921,0.001921,0.001921,1502.93717664,2.88714231
5/18/2017 12:50:00 AM,0.001921,0.001921,0.001921,0.001921,1039.97990472,1.99780139
5/18/2017 12:51:00 AM,0.001921,0.001921,0.001921,0.001921,2.2313991,0.00428651
5/18/2017 2:30:00 AM,0.001921,0.001921,0.001921,0.001921,225.13652059,0.43248725
5/18/2017 2:39:00 AM,0.00185101,0.00056899,0.00192099,0.00056899,40633.20324911,44.24731897
5/18/2017 2:40:00 AM,0.00192097,0.00056899,0.001921,0.00056899,70226.9822796,87.43212831
5/18/2017 2:41:00 AM,0.001921,0.00056899,0.001921,0.00056899,25214.17188608,31.3915126
5/18/2017 2:42:00 AM,0.00192098,0.00192098,0.00192098,0.00192098,5.40505988,0.010383
5/18/2017 2:50:00 AM,0.00192099,0.00192099,0.00192099,0.00192099,92.9682063,0.17859099
5/18/2017 2:56:00 AM,0.00192098,0.00061006,0.00192098,0.00061006,8000,4.89465117
5/18/2017 2:57:00 AM,0.00199911,0.00199911,0.00199911,0.00061006,39846.084524,57.5176636
